contest, issue, type, #auditor
124, H-01, C, 6
131, H-01, L3, 2
131, H-02, S5, 2
125, H-01, O4, 6
125, H-02, C, 32
123, H-01, S2, 1
122, H-01, L8, 3
122, H-02, C, 3
122, H-03, O3, 4
114, H-01, O1, 9
115, H-01, L9, 1
115, H-02, C, 2
113, H-01, C, 3
113, H-02, S5, 10
113, H-03, S1, 9
113, H-04, S4, 7
113, H-05, S6, 4
112, H-01, S6, 2
112, H-02, S3, 1
112, H-03, O3, 1
90, H-01, S4, 5
90, H-02, L7, 1
110, H-01, S6, 11
110, H-02, O5, 15
110, H-03, O1, 6
109, H-01, O2, 2
107, H-01, O1, 6
107, H-02, S2, 8
107, H-03, L1, 1
107, H-04, L1, 1
107, H-05, O1, 1
107, H-06, O1, 1
107, H-07, O1, 2
107, H-08, O5, 1
107, H-09, O3, 1
106, H-01, O6, 9
106, H-02, L1, 1
106, H-03, L1, 1
102, H-01, S6, 1
104, H-01, L8, 7
104, H-02, S2, 10
104, H-03, O3, 3
104, H-04, L3, 12
104, H-05, O1, 11
104, H-06, L5, 1
104, H-07, L1, 1
104, H-08, L8, 3
104, H-09, L8, 2
101, H-01, S6, 1
101, H-02, S6, 3
105, H-01, L2, 2
105, H-02, O3, 1
103, H-01, S2, 5
103, H-02, C, 3
100, H-02, O1, 7
100, H-03, S5, 3
98, H-01, C, 1
98, H-02, S6, 1
98, H-03, L3, 1
98, H-04, O3, 1
97, H-01, S5, 2
97, H-02, L7, 1
97, H-03, S6, 4
97, H-04, C, 3
97, H-05, L2, 2
96, H-01, C, 2
94, H-01, S2, 2
94, H-02, S4, 1
94, H-03, S4, 4
92, H-01, S6, 5
92, H-02, O3, 3
89, H-01, L1, 1
89, H-02, O3, 12
89, H-03, O1, 2
83, H-01, S6, 4
83, H-02, S6, 2
83, H-03, C, 19
83, H-04, O5, 7
83, H-05, S6, 4
83, H-06, C, 6
83, H-07, S2, 4
83, H-08, O5, 3
83, H-09, O5, 2
83, H-10, O1, 1
83, H-11, S2, 3
80, H-01, S5, 2
80, H-02, O1, 1
72, H-01, L4, 1
81, H-01, S2, 2
81, H-02, S5, 1
81, H-03, O1, 1
78, H-01, S5, 3
78, H-02, S6, 1
78, H-03, C, 4
78, H-04, S2, 1
78, H-05, S1, 1
78, H-06, S3, 1
78, H-07, S1, 1
79, H-01, S3, 2
79, H-02, S6, 1
77, H-01, S6, 1
