Bug ID, Bug Description, Conteset ID, Bug Label
H-04, "cancelPromotion is too rigorous", 64, S3
H-08, "Incorrect implementation of arctan in the contract FairSideFormula", 11, S6
H-01, "Anyone can arbitrarily add router liquidity", 19, S2
H-02, "function lockFunds in TopUpActionLibrary can cause serious fund lose. fee and Capped bypass. It’s not calling stakerVault.increaseActionLockedBalance when transfers stakes.", 112, S3
H-01, "Minting and burning synths exposes users to unlimited slippage", 52, S4
H-03, "DoS: claimForAllWindows() May Be Made Unusable By An Attacker", 104, O3
H-03, "Signature replay attacks for different identities (nonce on wrong party)", 38, S3
H-29, "VaderPoolV2.mintFungible exposes users to unlimited slippage", 52, S4
H-05, "Incorrect usage of typecasting in _getAmountsForLiquidity lets an attacker steal funds from the pool", 35, L7
H-08, "MasterChef.sol Users won’t be able to receive the concur rewards", 83, O5
H-04, "WrappedIbbtc and WrappedIbbtcEth contracts do not filter out price feed outliers", 47, C
H-01, "Flash swap call back prior to transferring tokens in indexPool", 29, O5
H-01, "first user can steal everyone else’s tokens", 76, O1
H-01, "Avoidance of Liquidation Via Malicious Oracle", 113, C
H-13, "Admin of the index pool can withdrawCredit() after applyCover() to avoid taking loss for the compensation paid for a certain pool", 71, O1
H-01, "Cannot actually submit evidence", 27, O2
H-03, "A Malicious Treasury Manager Can Burn Treasury Tokens By Setting makerFee To The Amount The Maker Receives", 81, O1
H-04, "NFTXLPStaking Is Subject To A Flash Loan Attack That Can Steal Nearly All Rewards/Fees That Have Accrued For A Particular Vault", 8, O2
H-01, "Anyone Can Arbitrarily Call FSDVesting.updateVestedTokens()", 50, S2
H-01, "[WP-H5] L1Migrator.sol#migrateETH() does not send bridgeMinter’s ETH to L2 causing ETH get frozen in the contract", 73, O2
H-11, "(dex-v1) BasePool.mint() function can be frontrun", 52, S4
H-15, "Incorrect multiplication in _computeSingleOutGivenPoolIn of IndexPool", 29, S6
H-01, "Oracle price does not compound", 102, S6
H-09, "Vault#setController() owner of the Vault contracts can drain funds from the Vault", 71, O1
H-07, "ERC20ConvictionScore._updateConvictionScore uses stale credit score for governanceDelta", 11, S6
H-01, "receiveCollateral() can be called by anyone", 66, S2
H-06, "Incorrect burn address in Vader.sol", 5, C
H-01, "Usage of an incorrect version of Ownbale library can potentially malfunction all onlyOwner functions", 43, O1
H-01, "User can steal all rewards due to checkpoint after transfer", 112, S6
H-07, "TokenHandler.safeTransferIn does not work on non-standard compliant tokens like USDT", 23, L8
H-02, "TimeswapConvenience.sol#borrowGivenDebt() Attacker can increase state.y to an extremely large value with a dust amount of assetOut", 74, S5
H-01, "Unchecked ERC20 transfers can cause lock up", 13, L8
H-01, "Can deposit native token for free and steal funds", 97, S5
H-08, "Vault.withdraw mixes normalized and standard amounts", 30, S6
H-01, "In the case of Single Asset Entry, new liquidity providers will suffer fund loss due to wrong formula of ΔRo", 77, S6
H-02, "2 variables not indexed by marketIndex", 22, O3
H-05, "Mistake while checking LTV to lender accepted LTV", 113, S6
H-01, "Tokens can be burned with no access control", 71, S5
H-02, "Withdrawers can get more value returned than expected with reentrant call", 67, L1
H-01, "Users can lose value in emergency state", 79, S3
H-03, "Reentrancy in settleAuction(): malicious publisher can bypass index timelock mechanism, inject malicious index, and rug the basket", 36, O1
H-05, "Exchange rates from Compound are assumed with 18 decimals", 25, L2
H-10, "ConcentratedLiquidityPool.burn() Wrong implementation", 35, S3
H-09, "treasury is vulnerable to sandwich attack", 42, S1
H-14, "Missing access restriction on lockUnits/unlockUnits", 5, S2
H-04, "Members lose SPARTA tokens in removeLiquiditySingle()", 20, C
H-06, "Users are credited more tokens when paying back debt with registerTradeAndBorrow", 3, S3
H-17, "Understanding the fee growth mechanism (why nearestTick is unsuitable)", 35, C
H-24, "Wrong design/implementation of addLiquidity() allows attacker to steal funds from the liquidity pool", 52, S1
H-01, "Unhandled return value of transfer in transferOut() of Pools.sol", 5, O3
H-05, "Access restrictions on NotionalV1ToNotionalV2.notionalCallback can be bypassed", 23, S2
H-06, "Paying IL protection for all VaderPool pairs allows the reserve to be drained.", 52, S1
H-03, "CompoundToNotionalV2.notionalCallback ERC20 return values not checked", 23, L8
H-01, "User could lose underlying tokens when redeeming from the IdleYieldSource", 14, O5
H-01, "User can forfeit other user rewards", 123, S2
H-01, "Wrong timing of check allows users to withdraw collateral without paying for the debt", 96, C
H-02, "Malicious Users Can Transfer Vault Collateral To Other Accounts To Extract Additional Yield From The Protocol", 80, O1
H-03, "transferNotionalFrom doesn’t check from != to", 39, S5
H-04, "Logic error in fee subtraction", 16, S6
H-02, "auth collision possible", 12, O3
H-01, "no-revert-on-transfer ERC20 tokens can be drained", 122, L8
H-02, "Cooldown and redeem windows can be rendered useless", 81, S5
H-01, "The formula of number of prizes for a degree is wrong", 34, S6
H-10, "Changing NFT contract in the MochiEngine would break the protocol", 42, S5
H-02, "TurboRouter: deposit(), mint(), createSafeAndDeposit() and createSafeAndDepositAndBoost() functions do not work", 92, O3
H-01, "Lack of access control on assertGovernanceApproved can cause funds to be locked", 78, S5
H-06, "IndexPool:  Poor conversion from Balancer V1’s corresponding functions", 29, O5
H-02, "unstake should update exchange rates first", 43, S6
H-03, "Locked funds from tokenization are credited twice to user leading to protocol fund loss", 11, S3
H-05, "hybrid pool uses wrong non_optimal_mint_fee", 29, C
H-20, "Early user can break addLiquidity", 52, L3
