type, #auditor
L1, 1
L1, 1
L1, 1
L1, 1
L1, 1
L1, 1
L1, 3
L1, 15
L1, 2
L1, 6
L1, 3
L1, 1
L2, 2
L2, 2
L2, 1
L2, 1
L2, 1
L2, 1
L2, 1
L2, 2
L2, 1
L2, 2
L3, 2
L3, 12
L3, 1
L3, 1
L3, 2
L3, 2
L4, 1
L4, 1
L5, 1
L5, 1
L6, 1
L7, 1
L7, 1
L7, 1
L7, 2
L7, 1
L7, 2
L7, 1
L7, 1
L7, 1
L7, 1
L7, 2
L7, 2
L7, 2
L7, 5
L7, 2
L7, 2
L8, 3
L8, 7
L8, 3
L8, 2
L8, 2
L8, 11
L8, 1
L8, 1
L8, 1
L8, 11
L8, 8
L9, 1
O1, 9
O1, 6
O1, 6
O1, 1
O1, 1
O1, 2
O1, 11
O1, 7
O1, 2
O1, 1
O1, 1
O1, 1
O1, 2
O1, 1
O1, 4
O1, 1
O1, 1
O1, 1
O1, 1
O1, 1
O1, 1
O1, 3
O1, 2
O1, 1
O1, 1
O1, 1
O1, 1
O1, 3
O1, 3
O1, 3
O1, 1
O1, 1
O1, 3
O2, 2
O2, 4
O2, 1
O2, 1
O2, 1
O2, 1
O2, 2
O2, 1
O2, 2
O3, 4
O3, 1
O3, 1
O3, 3
O3, 1
O3, 1
O3, 3
O3, 12
O3, 1
O3, 1
O3, 8
O3, 2
O3, 1
O3, 1
O3, 1
O3, 2
O3, 1
O3, 1
O3, 1
O3, 6
O3, 4
O3, 5
O4, 6
O4, 1
O4, 4
O5, 15
O5, 1
O5, 7
O5, 3
O5, 2
O5, 3
O5, 1
O5, 1
O5, 1
O5, 1
O5, 2
O5, 1
O5, 1
O5, 1
O5, 6
O5, 1
O5, 1
O5, 2
O5, 2
O5, 3
O5, 4
O5, 1
O5, 3
O5, 3
O5, 1
O5, 1
O5, 2
O6, 9
O6, 3
O6, 3
O6, 3
O6, 1
S1, 9
S1, 1
S1, 1
S1, 15
S1, 2
S1, 2
S1, 1
S1, 1
S1, 1
S1, 1
S1, 1
S1, 1
S1, 1
S1, 1
S1, 1
S1, 1
S2, 1
S2, 8
S2, 10
S2, 5
S2, 2
S2, 4
S2, 3
S2, 2
S2, 1
S2, 1
S2, 10
S2, 1
S2, 1
S2, 7
S2, 3
S2, 1
S2, 6
S2, 1
S2, 1
S2, 1
S2, 2
S2, 2
S2, 4
S2, 5
S2, 4
S2, 1
S2, 1
S2, 2
S2, 1
S2, 1
S2, 1
S2, 4
S2, 1
S2, 2
S2, 3
S3, 1
S3, 1
S3, 2
S3, 1
S3, 6
S3, 6
S3, 10
S3, 2
S3, 1
S3, 2
S3, 1
S3, 2
S3, 5
S3, 1
S3, 1
S3, 1
S3, 1
S3, 2
S3, 4
S3, 1
S3, 1
S3, 1
S3, 2
S3, 4
S3, 1
S3, 5
S3, 7
S3, 1
S3, 2
S3, 1
S3, 5
S3, 1
S3, 1
S3, 4
S3, 1
S3, 1
S3, 1
S3, 2
S3, 1
S3, 1
S3, 1
S3, 1
S3, 2
S3, 3
S3, 2
S4, 7
S4, 5
S4, 1
S4, 4
S4, 2
S4, 6
S4, 1
S4, 2
S4, 1
S4, 2
S4, 1
S4, 1
S4, 1
S4, 3
S4, 1
S4, 1
S4, 1
S4, 2
S4, 1
S4, 1
S4, 1
S5, 2
S5, 10
S5, 3
S5, 2
S5, 2
S5, 1
S5, 3
S5, 1
S5, 1
S5, 1
S5, 2
S5, 1
S5, 1
S5, 4
S5, 9
S5, 1
S5, 1
S5, 1
S5, 2
S5, 1
S5, 1
S5, 1
S5, 1
S6, 4
S6, 2
S6, 11
S6, 1
S6, 1
S6, 3
S6, 1
S6, 4
S6, 5
S6, 4
S6, 2
S6, 4
S6, 1
S6, 1
S6, 1
S6, 2
S6, 3
S6, 1
S6, 1
S6, 2
S6, 1
S6, 1
S6, 9
S6, 5
S6, 2
S6, 1
S6, 1
S6, 1
S6, 1
S6, 1
S6, 1
S6, 1
S6, 1
S6, 1
S6, 1
S6, 2
S6, 2
S6, 1
S6, 1
S6, 2
S6, 2
S6, 1
S6, 1
S6, 2
S6, 3
S6, 1
S6, 1
S6, 2
S6, 1
S6, 1
S6, 1
S6, 1
S6, 3
S6, 3
S6, 1
S6, 1
S6, 2
S6, 1
S6, 1
S6, 2
S6, 1
S6, 1
S6, 1
S6, 1
S6, 1
S6, 2
C , 6
C , 32
C , 3
C , 2
C , 3
C , 3
C , 1
C , 3
C , 2
C , 19
C , 6
C , 4
C , 1
C , 1
C , 1
C , 1
C , 1
C , 1
C , 2
C , 1
C , 4
C , 1
C , 2
C , 1
C , 2
C , 1
C , 1
C , 1
C , 1
C , 1
C , 1
C , 1
C , 3
C , 2
C , 3
C , 2
C , 1
C , 3
C , 2
